Kode,info_longName,info_sector,info_industry,info_marketCap,info_category,trading_recommendation,technical_trend,technical_momentum,technical_signal,price_action_market_structure,price_action_market_total_zones,fundamental_score,fundamental_rating,valuation_score,valuation_conclusion,valuation_reason,valuation_notes,info_website
FUJI.JK,PT Fuji Finance Indonesia Tbk,Financial Services,Credit Services,903500005376.0,Kecil,WAIT,BEARISH,NETRAL,NO TRADE,LL,36.0,30.0,BURUK 🔴,0.0,SAHAM MAHAL 🔴,Berbagai indikator valuasi menunjukkan harga relatif mahal,❌ PER tinggi (mahal)|❌ PBV sangat tinggi,https://fujifinance.com
MTMH.JK,PT Murni Sadar Tbk,Healthcare,Medical Care Facilities,2430519214080.0,Kecil,WAIT,SIDEWAYS,NETRAL,NO TRADE,LL,38.0,30.0,BURUK 🔴,10.0,SAHAM MAHAL 🔴,Berbagai indikator valuasi menunjukkan harga relatif mahal,❌ PER tinggi (mahal)|✅ PBV wajar,https://www.rsmurniteguh.com
PEHA.JK,PT Phapros Tbk,Healthcare,Drug Manufacturers - Specialty & Generic,257040007168.0,Kecil,WAIT,SIDEWAYS,NETRAL,NO TRADE,LL,23.0,30.0,BURUK 🔴,20.0,SAHAM MAHAL 🔴,Berbagai indikator valuasi menunjukkan harga relatif mahal,✅ Harga di bawah nilai buku (murah),https://www.phapros.co.id
BYAN.JK,PT Bayan Resources Tbk.,Energy,Thermal Coal,573333372403712.0,Bluechip,WAIT,SIDEWAYS,NETRAL,NO TRADE,HL,33.0,30.0,BURUK 🔴,15.0,SAHAM MAHAL 🔴,Berbagai indikator valuasi menunjukkan harga relatif mahal,❌ PER tinggi (mahal)|❌ PBV sangat tinggi|✅ Dividend yield tinggi,https://www.bayan.com.sg
DGIK.JK,PT Nusa Konstruksi Enjiniring Tbk,Industrials,Engineering & Construction,791706402816.0,Kecil,WAIT,SIDEWAYS,NETRAL,NO TRADE,LL,21.0,30.0,BURUK 🔴,30.0,SAHAM MAHAL 🔴,Berbagai indikator valuasi menunjukkan harga relatif mahal,✅ PER rendah|✅ PBV rendah,https://www.nusakonstruksi.com
WINS.JK,PT Wintermar Offshore Marine Tbk,Industrials,Marine Shipping,2306193752064.0,Kecil,WAIT,BULLISH,NETRAL,NO TRADE,LL,30.0,30.0,BURUK 🔴,30.0,SAHAM MAHAL 🔴,Berbagai indikator valuasi menunjukkan harga relatif mahal,✅ PER rendah|❌ PBV sangat tinggi|✅ Dividend yield tinggi,https://www.wintermar.com
YULE.JK,PT Yulie Sekuritas Indonesia Tbk,Financial Services,Capital Markets,5142809149440.0,Kecil,WAIT,BULLISH,KUAT (BULLISH),NO TRADE,HL,9.0,30.0,BURUK 🔴,15.0,SAHAM MAHAL 🔴,Berbagai indikator valuasi menunjukkan harga relatif mahal,❌ PER tinggi (mahal)|❌ PBV sangat tinggi|✅ Dividend yield tinggi,https://www.yuliesekuritas.com
POWR.JK,PT Cikarang Listrindo Tbk,Utilities,Utilities - Independent Power Producers,11318411132928.0,Menengah,WAIT,BULLISH,NETRAL,BUY,HL,7.0,30.0,BURUK 🔴,30.0,SAHAM MAHAL 🔴,Berbagai indikator valuasi menunjukkan harga relatif mahal,✅ PER rendah|❌ PBV sangat tinggi|✅ Dividend yield tinggi,https://www.listrindo.com
CTBN.JK,PT Citra Tubindo Tbk,Energy,Oil & Gas Equipment & Services,5882730512384.0,Kecil,WAIT,BULLISH,KUAT (BULLISH),BUY,LL,11.0,30.0,BURUK 🔴,30.0,SAHAM MAHAL 🔴,Berbagai indikator valuasi menunjukkan harga relatif mahal,✅ PER rendah|❌ PBV sangat tinggi|✅ Dividend yield tinggi,https://www.citratubindo.com
ABDA.JK,PT Asuransi Bina Dana Arta Tbk,Financial Services,Insurance - Property & Casualty,2284568444928.0,Kecil,WAIT,BULLISH,NETRAL,NO TRADE,LL,0.0,30.0,BURUK 🔴,20.0,SAHAM MAHAL 🔴,Berbagai indikator valuasi menunjukkan harga relatif mahal,⚠️ PER sedang|✅ PBV rendah,https://myoona.id
